FULLNAME,GENDERIDENTITY,BIRTHDATE,AGE,SIGNUPDATE,MEMBERSHIPLABEL,MEMBERSHIPCATEGORY,STATUS,BEGINDATE,ENDDATE,AUTORENEW,DROPREASON,INCOMECATEGORY,LASTATTDATE,ATTTOTAL,AUTOPAY,TOTALPAYMENTAMOUNT,TOTALDURATIONDAYS,MEMBERSHIPCOUNT,MEMBERSHIPTYPE
Kristina Wu,Male,01/06/2006,19,10/31/2016,Starter Pass,Single Use,Active,10/30/2017,09/08/2018,Yes,Facility Dissatisfaction,Starter Bundle,01/22/2023,1,ON,4450,313,3,Upgraded
Aaron Underwood,Female,03/29/2005,20,08/16/2022,Peak Season Promo,Annual,Active,08/22/2023,10/05/2025,Yes,Financial Constraints,Starter Bundle,09/05/2024,0,ON,5392,775,7,Gifted
John Edwards,Male,02/21/1966,59,04/19/2020,Wellness Bundle,Annual,Paused,03/14/2021,02/28/2022,Yes,,Velocity Tier,06/09/2025,3,ON,3700,351,4,Renewed
Joseph Green,Male,01/06/1994,31,03/08/2020,Gold Promo,Annual,Inactive,03/22/2021,04/14/2022,No,Facility Dissatisfaction,Premium Pass,03/25/2023,3,ON,2783,388,3,Reactivated
Kevin Campbell,Female,09/18/2005,19,10/25/2025,Peak Season Promo,Single Use,Inactive,07/22/2026,12/12/2027,No,,Standard Plan,07/22/2026,2,ON,1038,508,4,Referral
James Gutierrez,Female,12/10/1993,31,03/08/2020,Starter Pass,Trial,Active,10/09/2020,08/04/2022,Yes,Health Issues,Flexi Tier,03/07/2025,4,ON,4123,664,4,Upgraded
Anne Oconnell,Female,08/01/1959,65,10/10/2015,Zen Trial,Annual,Active,11/06/2016,11/14/2017,Yes,Schedule Conflicts,Standard Plan,11/30/2022,4,ON,2087,373,4,Renewed
Crystal Beard,Male,06/13/1979,46,04/27/2021,Monthly Plus,Trial,Active,10/28/2021,01/13/2023,No,Health Issues,Premium Pass,07/28/2022,2,ON,2466,442,7,Upgraded
Michael Gilbert,Female,08/27/1960,64,04/20/2017,Starter Pass,Monthly,Inactive,12/27/2017,03/01/2019,Yes,Health Issues,Standard Plan,02/18/2025,4,OFF,911,429,7,FirstTime
Thomas Winters,Female,04/10/1965,60,12/06/2016,Starter Pass,Monthly,Active,09/03/2017,02/18/2019,Yes,Relocation,Premium Pass,01/14/2018,4,ON,2162,533,4,Reactivated
Lisa Murray,Female,10/18/1982,42,07/08/2018,Spring Event,Monthly,Inactive,02/01/2019,08/29/2020,Yes,Relocation,Premium Pass,01/28/2022,2,ON,3678,575,3,Reactivated
Ann Wood,Male,02/10/1976,49,10/06/2016,Wellness Bundle,Trial,Paused,07/26/2017,05/10/2019,Yes,Health Issues,Standard Plan,06/22/2023,0,ON,1750,653,5,Referral
Maria Wilson,Male,08/18/1985,39,05/08/2020,Starter Pass,Monthly,Active,05/08/2021,01/31/2023,Yes,Financial Constraints,Standard Plan,05/02/2025,5,ON,5249,633,3,Referral
Brad Garcia,Female,02/12/1998,27,07/22/2015,Starter Pass,Monthly,Active,06/26/2016,10/14/2017,No,Facility Dissatisfaction,Wellness Plan,09/10/2018,4,ON,5701,475,4,Transferred
Susan Nunez,Male,04/05/1961,64,07/27/2025,Starter Pass,Annual,Active,07/10/2026,09/11/2027,Yes,Schedule Conflicts,Velocity Tier,07/10/2026,1,ON,3238,428,3,Reactivated
Robert Weaver,Male,07/07/1977,47,09/30/2018,Momentum Membership,Annual,Active,09/04/2019,01/25/2021,No,Health Issues,Standard Plan,09/06/2024,4,ON,5438,509,4,FirstTime
Mary Warren,Female,04/17/1988,37,05/16/2022,Momentum Membership,Monthly,Trialing,06/07/2023,09/26/2024,Yes,Facility Dissatisfaction,Standard Plan,11/30/2023,2,ON,2742,477,3,Renewed
Scott Brown,Female,07/28/2000,24,05/02/2021,Wellness Bundle,Annual,Active,02/23/2022,03/09/2024,No,Schedule Conflicts,Premium Pass,12/15/2023,4,OFF,3834,745,7,Renewed
Tiffany Taylor,Male,03/27/1949,76,12/15/2018,Peak Season Promo,Annual,Active,09/01/2019,09/04/2021,Yes,Schedule Conflicts,Wellness Plan,09/08/2021,5,ON,5406,734,5,FirstTime
Robert Williams,Male,04/08/1966,59,07/22/2023,Peak Season Promo,Single Use,Active,04/29/2024,05/28/2025,Yes,,Standard Plan,09/12/2024,4,ON,2671,394,6,Upgraded
Terry Schultz,Female,03/06/1987,38,07/08/2016,Starter Pass,Monthly,Pending,02/22/2017,02/04/2018,No,Financial Constraints,Flexi Tier,06/13/2025,4,ON,1976,347,3,Reactivated
Denise Bush DDS,Female,03/09/1947,78,07/10/2025,Starter Pass,Seasonal,Active,06/16/2026,08/10/2027,Yes,Found Alternative,Standard Plan,06/16/2026,0,ON,5680,420,6,FirstTime
Sharon Butler,Male,09/27/1945,79,10/05/2017,Momentum Membership,Annual,Active,07/19/2018,06/28/2019,Yes,Financial Constraints,Standard Plan,09/10/2022,4,ON,1828,344,3,Transferred
Stephanie Olsen,Female,05/10/1982,43,02/05/2023,Momentum Membership,Seasonal,Active,09/03/2023,11/26/2024,Yes,Financial Constraints,Standard Plan,04/05/2024,1,OFF,5402,450,5,Upgraded
Shannon Meyer,Male,08/29/1993,31,09/15/2020,Annual Flex,Trial,Active,05/01/2021,03/26/2023,No,Financial Constraints,Wellness Plan,01/10/2022,3,OFF,4664,694,3,Reactivated
Joe Hansen,Male,04/13/1994,31,11/07/2023,Momentum Membership,Trial,Completed,12/08/2024,02/23/2026,No,Relocation,Flexi Tier,03/23/2025,2,ON,5059,442,4,FirstTime
Deborah Wilson,Male,02/27/1947,78,10/17/2019,Starter Pass,Monthly,Active,10/27/2020,04/22/2022,No,Relocation,Starter Bundle,04/05/2025,5,ON,2518,542,4,Upgraded
Dr. Jennifer Shelton DVM,Male,03/29/1947,78,09/15/2015,Starter Pass,Seasonal,Guest,05/27/2016,01/18/2018,Yes,Relocation,Standard Plan,11/06/2021,2,OFF,5642,601,4,Renewed
Mrs. Kathleen Schultz PhD,Female,09/22/1977,47,11/03/2020,Spring Event,Monthly,Active,11/10/2021,09/17/2023,Yes,Personal Reasons,Standard Plan,06/23/2023,2,ON,3600,676,7,Referral
Erin Walker,Female,08/03/1947,77,12/13/2019,Starter Pass,Trial,Suspended,01/11/2021,08/30/2022,Yes,Health Issues,Starter Bundle,07/02/2023,3,ON,5917,596,5,Reactivated
Audrey Garza,Male,02/18/2000,25,08/24/2019,Peak Season Promo,Monthly,Active,08/11/2020,04/02/2022,Yes,Facility Dissatisfaction,Starter Bundle,06/10/2021,1,ON,5145,599,5,Reactivated
Kelsey Patterson,Female,12/05/1966,58,10/25/2021,Starter Pass,Single Use,Inactive,09/26/2022,10/09/2023,Yes,Schedule Conflicts,Standard Plan,02/20/2024,1,ON,2387,378,3,Gifted
Jake Frank,Female,08/16/1974,50,12/30/2025,Starter Pass,Monthly,Active,09/03/2026,08/15/2027,No,Relocation,Standard Plan,09/03/2026,5,ON,5188,346,6,Upgraded
David Cole,Male,06/21/1948,76,01/26/2022,Starter Pass,Annual,Paused,01/07/2023,03/05/2025,No,Lack of Results,Velocity Tier,12/24/2024,2,ON,4329,788,5,Upgraded
Elizabeth Nelson,Male,12/18/2004,20,03/22/2025,Peak Season Promo,Monthly,Active,02/18/2026,02/18/2027,No,Health Issues,Premium Pass,02/18/2026,5,OFF,1450,365,5,Upgraded
Susan Howard,Female,04/01/1977,48,01/03/2018,Momentum Membership,Annual,Active,09/27/2018,09/25/2020,No,Lack of Results,Starter Bundle,01/24/2019,4,ON,5305,729,6,Renewed
Frank Doyle,Female,09/07/1959,65,08/15/2019,Peak Season Promo,Single Use,Paused,07/26/2020,11/17/2021,No,Schedule Conflicts,Premium Pass,10/20/2023,4,OFF,2008,479,3,FirstTime
David Robertson,Female,06/27/2004,20,10/12/2016,Starter Pass,Annual,Trialing,07/09/2017,06/23/2019,Yes,Financial Constraints,Velocity Tier,10/09/2021,5,ON,2283,714,7,Upgraded
Joshua Serrano,Female,06/02/2003,22,05/27/2017,Peak Season Promo,Annual,Active,04/22/2018,08/31/2019,Yes,,Standard Plan,04/26/2018,4,ON,2703,496,3,Upgraded
Mitchell Kramer,Female,10/26/1950,74,06/17/2025,Zen Trial,Monthly,Inactive,06/19/2026,07/24/2027,Yes,Health Issues,Standard Plan,06/19/2026,4,ON,3418,400,3,Gifted
Charles Mayer,Male,06/26/1952,72,08/17/2024,Starter Pass,Annual,Suspended,09/13/2025,12/27/2026,Yes,Relocation,Standard Plan,09/13/2025,0,ON,968,470,6,Transferred
Dr. Richard Jennings,Male,10/10/1956,68,05/04/2015,Annual Flex,Trial,Completed,02/19/2016,03/19/2018,Yes,Financial Constraints,Premium Pass,06/10/2024,0,ON,2302,759,5,Upgraded
Katherine Shelton,Female,09/18/1982,42,03/26/2025,Starter Pass,Annual,Pending,10/19/2025,12/20/2026,Yes,Relocation,Premium Pass,10/19/2025,5,ON,3752,427,6,Gifted
Jessica Greene,Female,04/03/1952,73,07/27/2016,Starter Pass,Annual,Active,04/26/2017,09/09/2018,No,Financial Constraints,Standard Plan,11/10/2021,1,OFF,4062,501,6,Transferred
Alan Johnson,Female,10/06/2009,15,11/02/2020,Peak Season Promo,Monthly,Inactive,08/10/2021,05/25/2023,No,Relocation,Standard Plan,12/03/2021,5,ON,2479,653,7,Renewed
Jeff Hurley,Male,09/17/2000,24,07/20/2020,Spring Event,Annual,Active,03/24/2021,05/02/2023,No,,Wellness Plan,11/04/2024,2,ON,544,769,3,Referral
Maria Aguilar,Male,12/14/1978,46,12/22/2020,Starter Pass,Annual,Active,12/20/2021,01/06/2024,No,Injury,Flexi Tier,05/26/2023,0,ON,5958,747,4,Renewed
Stephen Clark,Male,10/23/1983,41,04/27/2023,Starter Pass,Monthly,Active,05/19/2024,07/07/2026,Yes,Found Alternative,Wellness Plan,08/04/2024,0,OFF,1978,779,7,Reactivated
Adam Glass,Female,08/13/1986,38,09/03/2018,Peak Season Promo,Single Use,Guest,04/13/2019,10/05/2020,Yes,Lack of Results,Standard Plan,10/21/2021,3,ON,4585,541,6,FirstTime
Johnny Gonzalez,Female,08/18/1986,38,06/23/2025,Momentum Membership,Monthly,Inactive,05/05/2026,04/03/2027,Yes,Financial Constraints,Standard Plan,05/05/2026,2,ON,4943,333,6,FirstTime
Jimmy Escobar,Female,03/27/2010,15,03/30/2022,Wellness Bundle,Annual,Active,04/03/2023,08/10/2024,Yes,Schedule Conflicts,Velocity Tier,02/28/2025,0,ON,4403,495,4,FirstTime
Melissa Ortiz,Female,04/26/1949,76,08/22/2015,Peak Season Promo,Annual,Inactive,06/25/2016,07/13/2017,Yes,Financial Constraints,Standard Plan,02/28/2017,3,OFF,5600,383,6,Renewed
Mr. Jonathon Hunter,Male,03/30/1992,33,07/17/2024,Wellness Bundle,Single Use,Pending,06/14/2025,05/09/2026,Yes,,Wellness Plan,06/15/2025,1,ON,2701,329,6,FirstTime
Rebecca Allen,Female,09/04/1979,45,10/13/2022,Peak Season Promo,Seasonal,Active,10/12/2023,12/31/2024,Yes,Facility Dissatisfaction,Standard Plan,03/04/2024,3,ON,2299,446,3,FirstTime
Alex Jones,Male,09/30/1975,49,10/25/2019,Starter Pass,Annual,Active,06/20/2020,10/10/2021,Yes,Schedule Conflicts,Premium Pass,05/12/2022,4,ON,3328,477,6,Reactivated
Tristan Peterson,Non-binary,02/27/1991,34,09/21/2025,Momentum Membership,Annual,Suspended,05/29/2026,03/28/2028,Yes,Relocation,Wellness Plan,05/29/2026,5,ON,2262,669,4,FirstTime
Joshua Berry,Female,02/03/1949,76,04/30/2020,Annual Flex,Annual,Active,12/21/2020,01/20/2022,Yes,Personal Reasons,Premium Pass,05/13/2025,0,ON,2980,395,7,Reactivated
Karen Nichols,Female,02/09/1985,40,06/26/2015,Wellness Bundle,Trial,Inactive,05/08/2016,12/30/2017,No,Lack of Results,Premium Pass,09/08/2017,1,ON,4932,601,3,Reactivated
Deborah Brown,Female,11/02/1999,25,10/25/2018,Gold Promo,Monthly,Suspended,11/15/2019,01/17/2022,Yes,Lack of Results,Standard Plan,05/21/2021,3,OFF,918,794,7,Renewed
Timothy Nelson,Female,01/16/1981,44,11/01/2022,Momentum Membership,Annual,Active,09/25/2023,06/18/2025,No,Schedule Conflicts,Standard Plan,09/07/2024,3,ON,3819,632,7,Upgraded
Stephen Boyd,Male,12/17/1958,66,11/11/2025,Momentum Membership,Trial,Inactive,12/13/2026,01/29/2028,Yes,Financial Constraints,Starter Bundle,12/13/2026,5,ON,2921,412,4,Referral
Linda Choi,Female,03/15/1990,35,07/18/2019,Starter Pass,Annual,Paused,05/28/2020,07/16/2021,No,Schedule Conflicts,Starter Bundle,03/30/2023,0,OFF,3700,414,5,Reactivated
Brian Edwards,Female,03/02/1949,76,11/21/2017,Starter Pass,Monthly,Pending,12/15/2018,10/11/2019,Yes,Lack of Results,Standard Plan,06/30/2023,2,OFF,5933,300,4,Upgraded
Danielle Burns,Male,11/18/1973,51,03/11/2025,Starter Pass,Trial,Paused,02/11/2026,07/15/2027,No,Health Issues,Premium Pass,02/11/2026,4,ON,3972,519,6,Renewed
Patrick Jones,Female,07/24/1945,79,06/07/2015,Zen Trial,Single Use,Active,04/13/2016,10/08/2017,No,Financial Constraints,Standard Plan,03/16/2025,2,ON,1796,543,5,FirstTime
Candice Smith,Male,01/23/1973,52,12/19/2019,Flexi Access,Monthly,Active,06/20/2020,11/14/2021,Yes,Financial Constraints,Wellness Plan,10/16/2021,0,ON,985,512,7,Gifted
Nicholas Long,Male,01/02/2008,17,08/04/2016,Wellness Bundle,Basic,Guest,07/14/2017,03/03/2019,Yes,,Premium Pass,09/29/2020,2,OFF,1074,597,4,Upgraded
Aaron Martinez,Male,03/20/2003,22,10/08/2015,Starter Pass,Seasonal,Active,06/22/2016,04/06/2018,No,Relocation,Premium Pass,04/22/2023,3,OFF,5976,653,4,Upgraded
Lauren Warren,Female,03/03/2008,17,10/08/2020,Starter Pass,Annual,Trialing,09/05/2021,09/19/2023,No,Lack of Results,Premium Pass,03/02/2022,2,ON,2368,744,3,Gifted
Dennis Mora,Female,05/02/1975,50,08/05/2015,Momentum Membership,Single Use,Active,05/26/2016,11/09/2017,Yes,,Infinity Pass,12/02/2018,5,ON,4467,532,3,Gifted
Penny Robinson,Female,12/25/1971,53,03/26/2015,Zen Trial,Trial,Active,02/22/2016,10/26/2017,No,Facility Dissatisfaction,Starter Bundle,06/14/2016,1,OFF,1949,612,5,Upgraded
Mason James Jr.,Female,07/12/1998,26,04/28/2023,Starter Pass,Single Use,Inactive,10/28/2023,06/13/2025,Yes,Schedule Conflicts,Premium Pass,01/24/2025,1,ON,3280,594,3,Upgraded
Kim Patterson,Female,02/13/1952,73,09/06/2017,Gold Promo,Monthly,Active,03/21/2018,11/13/2019,No,,Velocity Tier,10/27/2023,0,ON,5361,602,3,Referral
Thomas Sloan,Male,06/20/1962,62,04/02/2015,Momentum Membership,Monthly,Active,04/03/2016,07/26/2017,Yes,Health Issues,Standard Plan,06/07/2024,0,ON,3539,479,6,Upgraded
Tony Ingram,Female,07/15/1994,30,04/09/2015,Wellness Bundle,Single Use,Inactive,11/07/2015,11/04/2017,Yes,Health Issues,Flexi Tier,10/24/2019,4,ON,3645,728,3,Upgraded
Jesus Holt,Female,04/24/1967,58,04/05/2025,Gold Promo,Annual,Active,05/01/2026,12/13/2027,No,Health Issues,Standard Plan,05/01/2026,1,OFF,4318,591,5,Upgraded
Jay Cline,Non-binary,08/28/1971,53,02/10/2024,Peak Season Promo,Trial,Guest,08/28/2024,02/01/2026,Yes,Financial Constraints,Premium Pass,12/16/2024,2,ON,2709,522,5,Referral
Holly Wright,Female,11/08/1973,51,01/04/2015,Momentum Membership,Monthly,Active,09/17/2015,03/16/2017,No,Injury,Velocity Tier,07/03/2019,5,ON,1778,546,3,Renewed
Sandra Riley,Male,12/03/1963,61,04/19/2018,Momentum Membership,Annual,Trialing,12/07/2018,12/28/2020,No,Relocation,Wellness Plan,10/24/2020,0,OFF,1201,752,7,Transferred
Jeremy Aguilar,Male,05/23/1987,38,04/14/2015,Spring Event,Seasonal,Active,04/06/2016,03/04/2017,No,Relocation,Standard Plan,06/15/2021,5,ON,2072,332,6,Upgraded
Jack Simpson,Male,10/29/1974,50,05/28/2021,Flexi Access,Monthly,Inactive,12/19/2021,08/04/2023,Yes,Injury,Legacy Plan,04/05/2022,5,OFF,4464,593,6,Reactivated
Michele Evans,Female,04/15/1950,75,08/22/2016,Starter Pass,Annual,Suspended,07/10/2017,04/12/2019,Yes,Schedule Conflicts,Standard Plan,02/20/2024,0,ON,3327,641,6,FirstTime
Jessica Snow,Female,05/24/1981,44,05/26/2023,Gold Promo,Monthly,Active,05/22/2024,02/10/2026,Yes,Health Issues,Standard Plan,11/20/2024,1,OFF,2663,629,3,Gifted
Ronald Zamora,Female,05/11/1950,75,10/26/2018,Momentum Membership,Monthly,Active,08/20/2019,07/28/2021,Yes,Lack of Results,Standard Plan,08/07/2021,0,OFF,5363,708,4,Renewed
Michael Rosario,Male,09/16/1998,26,02/26/2015,Starter Pass,Monthly,Active,09/28/2015,07/24/2016,Yes,Lack of Results,Standard Plan,03/23/2019,5,ON,5473,300,7,Reactivated
Lisa Wright,Female,12/15/2008,16,03/27/2019,Spring Event,Annual,Active,03/23/2020,03/09/2021,Yes,Schedule Conflicts,Standard Plan,01/18/2024,3,ON,2297,351,4,Renewed
Dana Garza,Male,05/02/2009,16,09/19/2019,Starter Pass,Trial,Active,07/27/2020,07/26/2021,Yes,Lack of Results,Premium Pass,11/15/2022,3,ON,2801,364,4,FirstTime
Richard Shaw,Female,01/29/1991,34,09/25/2019,Spring Event,Annual,Active,07/12/2020,08/15/2022,No,Relocation,Standard Plan,10/12/2024,4,OFF,3283,764,4,FirstTime
Nathaniel White,Male,12/26/1982,42,10/27/2015,Starter Pass,Flex Plan,Paused,07/24/2016,02/09/2018,No,Financial Constraints,Flexi Tier,06/12/2017,4,ON,822,565,3,Gifted
Angela Morse,Female,07/24/1946,78,09/26/2018,Peak Season Promo,Trial,Inactive,08/05/2019,03/10/2021,Yes,Health Issues,Premium Pass,10/29/2021,4,ON,3640,583,7,FirstTime
Alyssa May,Male,06/27/1950,74,02/18/2022,Starter Pass,Monthly,Paused,03/01/2023,12/13/2024,Yes,Financial Constraints,Premium Pass,12/02/2023,1,ON,557,653,4,FirstTime
Joseph Hodge,Male,04/14/1960,65,12/02/2025,Starter Pass,Trial,Active,06/23/2026,06/19/2027,No,Schedule Conflicts,Velocity Tier,06/23/2026,5,ON,2346,361,3,Referral
Lisa Simpson,Male,03/05/1964,61,12/24/2018,Momentum Membership,Monthly,Inactive,01/06/2020,12/15/2020,Yes,Schedule Conflicts,Standard Plan,09/12/2021,1,ON,2253,344,5,Renewed
Douglas Henry,Female,11/10/1958,66,07/01/2025,Peak Season Promo,Annual,Active,03/09/2026,10/15/2027,Yes,Lack of Results,Starter Bundle,03/09/2026,3,ON,4750,585,4,Upgraded
Jesse Sampson,Female,06/30/1956,68,07/14/2017,Flexi Access,Trial,Active,04/29/2018,01/16/2020,Yes,,Starter Bundle,03/01/2022,3,ON,2618,627,4,FirstTime
Scott Nelson,Male,09/11/1982,42,04/26/2015,Starter Pass,Monthly,Active,11/26/2015,08/01/2017,Yes,Personal Reasons,Standard Plan,08/15/2018,3,OFF,2981,614,6,Referral
David Moore,Non-binary,12/01/1994,30,11/17/2024,Peak Season Promo,Trial,Guest,09/25/2025,03/10/2027,No,Financial Constraints,Standard Plan,09/25/2025,5,ON,1019,531,5,Reactivated
David Gillespie,Female,03/06/1975,50,07/28/2015,Starter Pass,Monthly,Active,05/26/2016,01/12/2018,Yes,Financial Constraints,Infinity Pass,03/30/2018,4,ON,4194,596,3,Reactivated
Karen Rodriguez,Female,10/23/1956,68,02/06/2018,Starter Pass,Annual,Completed,09/13/2018,05/06/2020,Yes,,Infinity Pass,01/21/2019,4,ON,610,601,3,Reactivated
Ms. Sarah Mitchell,Male,05/11/1951,74,04/23/2023,Gold Promo,Annual,Paused,03/24/2024,05/10/2025,Yes,Schedule Conflicts,Standard Plan,08/17/2024,2,ON,1469,412,4,FirstTime
Kristina Aguilar,Female,08/24/1965,59,11/13/2023,Annual Flex,Monthly,Active,06/09/2024,06/03/2026,Yes,Relocation,Standard Plan,08/23/2024,3,OFF,4433,724,5,FirstTime
Denise Williams,Female,05/10/1959,66,01/24/2016,Peak Season Promo,Seasonal,Paused,12/04/2016,10/10/2018,No,Schedule Conflicts,Standard Plan,05/30/2018,3,ON,5131,675,3,Renewed
Michael Lynn,Male,03/21/1946,79,06/15/2024,Flexi Access,Monthly,Inactive,03/17/2025,11/08/2026,Yes,Relocation,Standard Plan,04/09/2025,1,ON,3557,601,5,Reactivated
Misty Nelson,Female,06/16/2008,17,01/31/2020,Wellness Bundle,Monthly,Active,01/16/2021,09/13/2022,Yes,Relocation,Standard Plan,04/09/2021,5,ON,4581,605,4,Upgraded
Carmen Johnson,Female,01/15/2009,16,12/09/2022,Flexi Access,Flex Plan,Active,06/13/2023,02/07/2025,Yes,Schedule Conflicts,Premium Pass,01/22/2024,3,ON,3467,605,6,Reactivated
Janet Williams,Female,07/28/1960,64,11/13/2015,Flexi Access,Seasonal,Active,09/16/2016,11/26/2017,No,Facility Dissatisfaction,Wellness Plan,03/03/2018,3,ON,856,436,7,Renewed
Catherine Thomas,Male,05/03/1948,77,06/27/2022,Spring Event,Annual,Paused,02/28/2023,04/26/2025,No,,Standard Plan,08/30/2023,2,ON,5691,788,5,FirstTime
Margaret Myers,Male,09/16/1985,39,08/11/2022,Momentum Membership,Monthly,Paused,02/18/2023,09/23/2024,Yes,Facility Dissatisfaction,Flexi Tier,05/21/2023,3,OFF,4734,583,6,Renewed
Cameron Hanson,Male,10/26/1976,48,04/28/2015,Starter Pass,Annual,Active,04/15/2016,05/28/2017,No,Financial Constraints,Premium Pass,02/11/2017,3,ON,1216,408,3,Renewed
Brian Castillo,Female,04/27/1982,43,11/20/2023,Peak Season Promo,Monthly,Active,11/23/2024,06/02/2026,No,Financial Constraints,Velocity Tier,12/19/2024,0,ON,5411,556,3,FirstTime
Amber Shaw,Female,03/13/2009,16,09/26/2025,Momentum Membership,Trial,Active,04/26/2026,06/24/2027,Yes,Lack of Results,Standard Plan,04/26/2026,3,ON,5919,424,5,Upgraded
Philip Todd,Male,01/14/1965,60,02/02/2021,Starter Pass,Monthly,Active,08/18/2021,12/08/2022,Yes,,Wellness Plan,01/17/2023,3,OFF,4737,477,5,FirstTime
Jason Phillips,Female,08/20/1965,59,01/18/2024,Peak Season Promo,Seasonal,Active,11/10/2024,11/03/2025,Yes,Facility Dissatisfaction,Starter Bundle,11/15/2024,2,ON,2172,358,3,Renewed
Andrea Rice,Female,12/11/2004,20,10/02/2019,Starter Pass,Monthly,Active,06/28/2020,12/02/2021,Yes,Health Issues,Standard Plan,08/13/2021,5,ON,669,522,3,Referral
Derrick Hayes,Male,10/04/1945,79,11/05/2022,Momentum Membership,Monthly,Suspended,09/21/2023,03/18/2025,Yes,Relocation,Standard Plan,02/13/2024,5,ON,1385,544,5,Referral
Paul Guzman,Female,02/20/1991,34,11/24/2023,Flexi Access,Annual,Active,05/22/2024,03/30/2026,Yes,Found Alternative,Premium Pass,03/25/2025,0,ON,2433,677,5,Reactivated
David Jones,Male,08/03/1980,44,06/16/2016,Starter Pass,Single Use,Active,06/14/2017,10/15/2018,Yes,Personal Reasons,Premium Pass,07/23/2020,3,ON,4596,488,3,Renewed
Jonathan Smith,Female,12/07/1994,30,04/24/2021,Peak Season Promo,Single Use,Active,01/02/2022,09/01/2023,Yes,Health Issues,Standard Plan,06/30/2023,3,ON,4439,607,6,Upgraded
Justin Johnson,Female,01/02/1990,35,09/18/2022,Momentum Membership,Monthly,Paused,04/10/2023,05/18/2025,No,Financial Constraints,Velocity Tier,05/11/2024,1,ON,4239,769,4,Renewed
James Parker,Male,10/19/1953,71,10/02/2025,Momentum Membership,Annual,Trialing,06/01/2026,07/15/2028,Yes,Lack of Results,Velocity Tier,06/01/2026,3,ON,1778,775,5,Gifted
Logan Dudley,Male,11/02/1967,57,03/21/2024,Peak Season Promo,Annual,Inactive,11/28/2024,07/14/2026,Yes,Financial Constraints,Standard Plan,05/28/2025,4,OFF,3195,593,3,FirstTime
Nicole Alvarez,Male,11/09/2009,15,04/08/2025,Wellness Bundle,Annual,Active,01/07/2026,09/17/2027,Yes,Health Issues,Wellness Plan,01/07/2026,4,ON,1362,618,4,Renewed
Amy Terrell,Female,10/27/2008,16,02/16/2017,Starter Pass,Premium,Active,12/01/2017,11/26/2019,No,,Standard Plan,01/30/2021,3,ON,2221,725,4,FirstTime
Alexander Vargas,Female,03/10/1950,75,06/04/2021,Starter Pass,Seasonal,Paused,03/04/2022,02/03/2024,No,,Wellness Plan,06/05/2022,5,ON,1649,701,4,FirstTime
Brian Davis,Male,12/22/1960,64,01/30/2020,Peak Season Promo,Monthly,Active,02/20/2021,09/28/2022,Yes,Health Issues,Premium Pass,04/05/2022,4,ON,1303,585,3,FirstTime
Allison Franco,Female,09/15/2007,17,12/21/2015,Spring Event,Trial,Trialing,07/28/2016,07/09/2017,No,Relocation,Standard Plan,05/26/2020,5,OFF,5517,346,5,Upgraded
Tyler Meyer,Female,02/07/1993,32,06/27/2022,Momentum Membership,Single Use,Active,12/26/2022,12/18/2023,No,Relocation,Standard Plan,03/09/2024,2,OFF,2767,357,6,Reactivated
Joshua Pittman,Female,05/01/1984,41,12/09/2020,Peak Season Promo,Annual,Paused,07/30/2021,05/08/2023,Yes,,Legacy Plan,05/25/2025,4,ON,3745,647,5,Upgraded
Christian Allen,Female,06/11/1956,69,02/21/2018,Gold Promo,Single Use,Active,01/31/2019,02/23/2021,Yes,Personal Reasons,Standard Plan,01/12/2024,2,ON,2017,754,5,FirstTime
Angela Tran,Female,03/08/1989,36,05/27/2025,Momentum Membership,Seasonal,Suspended,06/18/2026,08/06/2028,Yes,Financial Constraints,Flexi Tier,06/18/2026,1,ON,4671,780,3,Upgraded
Rebecca Brown,Male,05/14/1977,48,03/27/2016,Momentum Membership,Premium,Active,11/24/2016,12/01/2018,Yes,Schedule Conflicts,Wellness Plan,03/15/2023,0,ON,4043,737,3,FirstTime
Charles Martin,Female,09/20/1977,47,11/17/2022,Wellness Bundle,Monthly,Paused,10/16/2023,06/13/2025,No,Facility Dissatisfaction,Flexi Tier,05/02/2025,3,ON,4769,606,4,Referral
Christy Haley,Female,02/18/2004,21,02/12/2023,Starter Pass,Single Use,Active,01/29/2024,08/12/2025,No,Financial Constraints,Standard Plan,01/24/2025,5,ON,4539,561,4,Upgraded
Tyler Welch,Non-binary,06/06/1988,37,05/25/2017,Flexi Access,Annual,Suspended,06/05/2018,10/01/2019,No,Relocation,Standard Plan,07/01/2019,4,OFF,2783,483,5,Upgraded
Vincent Watkins,Male,05/04/1959,66,03/20/2015,Annual Flex,Monthly,Active,10/15/2015,11/01/2016,No,Facility Dissatisfaction,Premium Pass,02/06/2024,4,ON,2692,383,4,Upgraded
Robert Jackson,Male,04/09/1963,62,01/29/2023,Monthly Plus,Single Use,Active,08/05/2023,05/20/2025,No,Financial Constraints,Standard Plan,04/06/2024,5,OFF,3356,654,5,FirstTime
Donna Mendoza,Female,06/29/1954,70,03/25/2022,Momentum Membership,Annual,Active,12/01/2022,01/26/2024,Yes,Injury,Flexi Tier,02/27/2023,5,ON,5408,421,6,Upgraded
David Torres,Male,02/04/1978,47,11/02/2025,Momentum Membership,Annual,Guest,10/06/2026,05/17/2028,Yes,Health Issues,Flexi Tier,10/06/2026,0,ON,5201,589,3,Upgraded
